time,pixel_shift,can_v_kmh,gps_v_kmh,Vision_v_kmh
1844.763817,0.08179084211587906,117.9225230056133,117.21954844832631,116.13149205580636
1844.8138179999999,0.030082881450653076,117.85561704040657,117.19262817116704,116.78704811988885
1844.863817,0.038294970989227295,117.83312537182675,117.1657089707544,117.205826083592
1844.9138229999999,0.008373811841011047,117.80572467880846,117.13879084708809,117.46926434155586
1844.963815,0.018064331263303757,117.83373799567319,117.11186895480918,117.63667280189236
1845.013817,0.10589244216680527,117.7765397645395,117.08495459975549,117.74424125933564
1845.063829,0.02624697797000408,117.73795035154518,117.05803486096954,117.81115895947819
1845.113815,0.06360892951488495,117.73309230416197,117.03110973845119,117.85339331505378
1845.163811,0.1214928850531578,117.73447276314636,117.00419861363706,117.88127158798878
1845.213813,0.12434233725070953,117.70681982681975,116.97728210509054,117.90008270810667
1845.26381,0.021476833149790764,117.70347656082079,116.95036236630446,117.9097649018915
1845.31383,0.01926908642053604,117.62837331107924,116.92344531938477,117.91282944541886
1845.36381,0.06858733296394348,117.557712852112,116.89651588988038,117.91390565083682
1845.413802,0.03741249069571495,117.50231900910757,116.86960799530569,117.91395424891977
1845.463808,0.022952962666749954,117.47888251243138,116.84269364025212,117.90964970615495
1845.513831,0.0397176519036293,117.44678190294395,116.81577174797322,117.90376112855336
1845.563809,0.08672495186328888,117.44333254712619,116.78884070334917,117.90034015671085
1845.613818,0.07491178065538406,117.3890136931463,116.75671800125822,117.89762342241262
1845.6638169999999,0.043940093368291855,117.2786083824537,116.72342901575844,117.89215521049127
1845.7138029999999,0.04316336661577225,117.25992047316393,116.6901466868577,117.88483272983689
1845.763802,0.05943114683032036,117.24868672657621,116.65687301153545,117.87803023970679
1845.8138139999999,0.3118489384651184,117.22788652028737,116.62359068263457,117.8704072806336
1845.8638019999999,0.025154203176498413,117.20395091613962,116.59029970015519,117.85969046720919
1845.913802,0.11397161334753036,117.17000000000003,116.55702469351316,117.85801240452605
1845.963796,0.2736130654811859,117.03068820478721,116.5237416989523,117.85341697304686
1846.013798,0.4451736509799957,117.02872467319335,116.49046269835095,117.85366099111042
1846.0638199999999,0.14174775779247284,117.03178203766798,116.45717837247047,117.85925750626961
1846.113804,0.09692378342151642,116.90541522052911,116.4238807333922,117.86385424775241
1846.163802,0.14532126486301422,116.86082111855313,116.39060838938957,117.87278985951423
1846.2138109999999,0.012312664650380611,116.8124691744804,116.35732672614866,117.87931834089652
1846.263801,0.016298821195960045,116.81422257153102,116.32403774064902,117.87324916136643
1846.313798,0.04765956476330757,116.84268936087653,116.29076140268707,117.86414735869903
1846.363797,0.15701228380203247,116.84479214847688,116.25748040510611,117.86432251688647
1846.413811,0.13084529340267181,116.80217599159172,116.22419807620523,117.86152089124366
1846.4638109999999,0.010326141491532326,116.80180598661049,116.19090576240606,117.86082224034416
1846.513795,0.09204088896512985,116.78035737511001,116.15762276784537,117.86047550789681
1846.563799,0.14162838459014893,116.7769370475985,116.12435042384274,117.86489865778643
1846.613793,0.09563035517930984,116.75091533932185,116.09106476664249,117.86804045481983
1846.663806,0.10088396817445755,116.71937861312648,116.05778576604112,117.87090812038606
1846.713791,0.05566246062517166,116.64704600467907,116.02449411790178,117.86785237542668
1846.763786,0.15836800634860992,116.6423701000233,115.9912211082395,117.86991063009705
1846.813807,0.017413580790162086,116.59162590304673,115.95794144197816,117.8600853088422
1846.863807,0.07063017040491104,116.62985804980867,115.92464446855972,117.8510271747815
1846.913781,0.0072347242385149,116.58589333141015,115.89136147399901,117.8417400769614
1846.96379,0.025807715952396393,116.52831540135855,115.85809578659544,117.82597916095591
1847.013802,0.07038384675979614,116.56353650435778,115.82480680109566,117.8131885442165
1847.063803,0.048933353275060654,116.5817389864304,115.79151581861628,117.79946796621576
1847.11378,0.07136544585227966,116.57353688077784,115.75823215839561,117.78826470304
1847.163783,0.10403547435998917,116.52529961063233,115.72496447401245,117.78259807588543
1847.213782,0.12805400788784027,116.46596977040495,115.691679482472,117.78298136114451
1847.263782,0.009998759254813194,116.49464020486278,115.65839715357112,117.77449120389863
1847.313779,0.06283669918775558,116.48863035360343,115.62511415901041,117.76541167785385
1847.363781,0.00931190699338913,116.46000000000004,115.5918331614293,117.76166253367575
1847.413775,0.016253719106316566,116.41863616616028,115.55854883554882,117.747187751002
1847.46378,0.13046184182167053,116.40314134952703,115.52526983494747,117.74237629243777
1847.513906,0.06921429187059402,116.37611737539805,115.49198351208723,117.73648574783181
1847.563789,0.08502057939767838,116.38845770545305,115.4586166443803,117.73205974866924
1847.613779,0.05580505356192589,116.40022206815979,115.44840542990514,117.72468733020173
1847.663777,0.01715759001672268,116.43415971615956,115.44390789691133,117.7097940710085
1847.71378,0.015277992933988571,116.3042747902065,115.43940964416828,117.68914655963928
1847.7637809999999,0.10809065401554108,116.29027777542893,115.43491094158196,117.67807408729963
1847.8137749999999,0.09798883646726608,116.356011491033,115.43041241893297,117.67185735337748
1847.863774,0.06304065138101578,116.34593135976155,115.42591452606455,117.66452906434573
1847.913777,0.021120114251971245,116.3420994668096,115.42141618335283,117.66332857344504
1847.96379,0.02837335504591465,116.3181380522914,115.41691748076651,117.6540096593925
1848.013769,0.045582566410303116,116.31893288888794,115.41241787849367,117.64237883778182
1848.063784,0.014003154821693897,116.37595405112297,115.40792133515505,117.62499188967242
1848.113771,0.09361270815134048,116.3921348729365,115.40342155294489,117.61441087633503
1848.163779,0.05092480406165123,116.3945709917809,115.39892428985702,117.60333382581305
1848.213759,0.06690001487731934,116.37560093215724,115.39442513742745,117.59390453614762
